Z,A,EC_Halflife(s)
9,17,2300.50635
9,18,14101.64160
10,18,3145.61792
10,19,48.41077
11,19,0.12331
11,20,0.09562
11,21,61.32870
11,22,669.15558
12,20,0.40727
12,21,0.03219
12,22,89.96592
12,23,29.80786
13,21,0.04371
13,22,0.02219
13,23,0.10295
13,24,0.18547
13,25,24.08537
13,26,75.75934
14,22,0.05124
14,23,0.01511
14,24,0.28163
14,25,0.03666
14,26,41.09111
14,27,21.14724
15,23,0.01889
15,24,0.00498
15,25,0.02725
15,26,0.01160
15,27,0.12588
15,28,0.18803
15,29,8.42215
15,30,29.89479
16,24,0.01054
16,25,0.00301
16,26,0.07318
16,27,0.00800
16,28,0.27296
16,29,0.04488
16,30,12.30903
16,31,10.05417
17,25,0.00137
17,26,0.00073
17,27,0.00446
17,28,0.00397
17,29,0.01844
17,30,0.02041
17,31,0.14598
17,32,0.21666
17,33,26.95040
17,34,424.96909
17,36,1549475.50000
18,27,0.00081
18,28,0.00642
18,29,0.00232
18,30,0.03686
18,31,0.00844
18,32,0.23860
18,33,0.07669
18,34,11.13569
18,35,6.67907
18,37,269338.96875
19,29,0.00120
19,30,0.00098
19,31,0.00399
19,32,0.00353
19,33,0.03628
19,34,0.02122
19,35,0.17416
19,36,0.19907
19,37,4.23946
19,38,18.97163
19,40,6931471872.00000
20,30,0.00150
20,31,0.00084
20,32,0.00695
20,33,0.00195
20,34,0.06289
20,35,0.01580
20,36,0.30077
20,37,0.15796
20,38,3.12753
20,39,1.52964
20,41,62979808.00000
21,32,0.00061
21,33,0.00484
21,34,0.00134
21,35,0.01541
21,36,0.00709
21,37,0.04160
21,38,0.03131
21,39,0.06123
21,40,0.07326
21,41,0.99366
21,42,1.59528
21,43,896.46130
21,44,128.69910
21,46,6931471872.00000
22,34,0.00298
22,35,0.00069
22,36,0.01882
22,37,0.00744
22,38,0.06905
22,39,0.01793
22,40,0.29303
22,41,0.09270
22,42,1.74148
22,43,2.22213
22,44,3619231744.00000
22,45,4868.72461
23,36,0.00068
23,37,0.00575
23,38,0.00347
23,39,0.01057
23,40,0.00566
23,41,0.02154
23,42,0.02579
23,43,0.06138
23,44,0.04847
23,45,0.77943
23,46,4.79586
23,47,468.43393
23,48,262.40732
23,49,1608843.00000
23,50,6931471872.00000
24,38,0.00440
24,39,0.00268
24,40,0.01130
24,41,0.00635
24,42,0.04533
24,43,0.02351
24,44,0.11145
24,45,0.05803
24,46,1.05752
24,47,1.21245
24,48,77364.89844
24,49,1136.22437
24,51,595541.75000
25,40,0.00185
25,41,0.00464
25,42,0.00305
25,43,0.01106
25,44,0.00911
25,45,0.02012
25,46,0.02372
25,47,0.06823
25,48,0.10157
25,49,1.05329
25,50,2.92141
25,51,368.61346
25,52,313.63629
25,53,3157827.50000
25,54,6931471872.00000
26,42,0.00394
26,43,0.00294
26,44,0.01186
26,45,0.00618
26,46,0.02269
26,47,0.02130
26,48,0.10199
26,49,0.06336
26,50,1.03712
26,51,0.95692
26,52,13954.88184
26,53,74.70498
26,55,533036672.00000
27,44,0.00234
27,45,0.00447
27,46,0.00285
27,47,0.00852
27,48,0.00956
27,49,0.02735
27,50,0.03370
27,51,0.06913
27,52,0.09541
27,53,1.47601
27,54,3.86340
27,55,495.44647
27,56,634045.56250
27,57,6931471872.00000
27,58,6931471872.00000
28,46,0.00362
28,47,0.00402
28,48,0.00732
28,49,0.00738
28,50,0.02153
28,51,0.02097
28,52,0.21753
28,53,0.07434
28,54,0.49027
28,55,0.70494
28,56,43063.72266
28,57,994.85730
28,59,224995.34375
29,48,0.00199
29,49,0.00500
29,50,0.00329
29,51,0.00812
29,52,0.00685
29,53,0.01590
29,54,0.01640
29,55,0.04975
29,56,0.04709
29,57,0.30703
29,58,0.57022
29,59,20.51682
29,60,19.60195
29,61,6408.21582
29,62,7160.64209
29,64,138774.78125
30,51,0.00284
30,52,0.01051
30,53,0.00399
30,54,0.02183
30,55,0.01363
30,56,0.08857
30,57,0.05255
30,58,0.52395
30,59,0.62626
30,60,150.22391
30,61,14.44137
30,62,55888.85156
30,63,1300.59192
30,65,148407.32812
31,53,0.00465
31,54,0.00235
31,55,0.00701
31,56,0.00709
31,57,0.01326
31,58,0.01378
31,59,0.04802
31,60,0.05794
31,61,0.35850
31,62,0.66656
31,63,7.17261
31,64,18.03086
31,65,508.04294
31,66,17524.13477
31,67,184004.34375
31,68,2324.96289
31,70,6931471872.00000
32,55,0.00194
32,56,0.00937
32,57,0.00614
32,58,0.02821
32,59,0.01442
32,60,0.10627
32,61,0.05588
32,62,0.60052
32,63,0.37266
32,64,64.53175
32,65,10.62224
32,66,16802.86719
32,67,497.26819
32,68,6931471872.00000
32,69,8960.68848
32,71,6931471872.00000
33,57,0.00248
33,58,0.00221
33,59,0.00754
33,60,0.00765
33,61,0.02679
33,62,0.02202
33,63,0.08615
33,64,0.06647
33,65,0.64347
33,66,1.77949
33,67,10.80427
33,68,34.80407
33,69,206.33691
33,70,22.82519
33,71,14612.18945
33,72,742.17700
33,73,9148263.00000
33,74,6931471872.00000
33,76,6931471872.00000
34,59,0.00182
34,60,0.00811
34,61,0.00664
34,62,0.02482
34,63,0.01451
34,64,0.08740
34,65,0.04179
34,66,0.53253
34,67,0.35019
34,68,54.33592
34,69,4.73327
34,70,4540.99121
34,71,65.99232
34,72,1518114.75000
34,73,1545.77563
34,75,348692.37500
35,61,0.00371
35,62,0.00325
35,63,0.01167
35,64,0.00966
35,65,0.01946
35,66,0.02345
35,67,0.04687
35,68,0.04197
35,69,0.15578
35,70,0.29485
35,71,2.18197
35,72,0.94906
35,73,178.92175
35,74,267.12170
35,75,426.28549
35,76,53.16645
35,77,33929.75391
35,78,1047350.31250
35,80,6931471872.00000
35,82,6931471872.00000
36,63,0.00183
36,64,0.00832
36,65,0.00643
36,66,0.02818
36,67,0.02319
36,68,0.06756
36,69,0.03495
36,70,0.29920
36,71,0.18254
36,72,15.45288
36,73,3.14927
36,74,1771.13391
36,75,86.69041
36,76,108274.70312
36,77,3102.41699
36,79,122085.03906
36,81,6931471872.00000
37,66,0.00307
37,67,0.00750
37,68,0.00713
37,69,0.01440
37,70,0.01330
37,71,0.03384
37,72,0.02844
37,73,0.19496
37,74,0.60805
37,75,2.87567
37,76,3.83094
37,77,20.23306
37,78,49.12143
37,79,278.11133
37,80,4844.03467
37,81,20518.31836
37,82,1125120.25000
37,83,6931471872.00000
37,84,6931471872.00000
37,86,6931471872.00000
38,68,0.00641
38,69,0.00662
38,70,0.01760
38,71,0.01286
38,72,0.04971
38,73,0.04278
38,74,0.33670
38,75,0.21138
38,76,8.04690
38,77,3.90537
38,78,339.61429
38,79,132.06883
38,80,15329.91309
38,81,102.53542
38,82,6931471872.00000
38,83,26629.10156
38,85,1976707.62500
39,70,0.00386
39,71,0.00748
39,72,0.00583
39,73,0.01765
39,74,0.01701
39,75,0.04037
39,76,0.03781
39,77,0.18439
39,78,0.22924
39,79,3.67996
39,80,3.40577
39,81,22.81370
39,82,11.83516
39,83,466.06592
39,84,1668.43628
39,85,26969.27734
39,86,45974.32422
39,87,5406229.00000
39,88,6931471872.00000
40,72,0.00777
40,73,0.00495
40,74,0.02072
40,75,0.01767
40,76,0.05209
40,77,0.02974
40,78,0.23695
40,79,0.16693
40,80,21.53464
40,81,4.19212
40,82,109.92982
40,83,8.87960
40,84,3661.57031
40,85,88.03050
40,86,959959.31250
40,87,518.13660
40,88,781797760.00000
40,89,4985.27783
41,74,0.00289
41,75,0.00550
41,76,0.00622
41,77,0.01175
41,78,0.01006
41,79,0.03304
41,80,0.04054
41,81,0.17327
41,82,0.20081
41,83,1.59927
41,84,0.55382
41,85,4.32239
41,86,12.83336
41,87,10.13193
41,88,53.01174
41,89,96.54290
41,90,2505.44971
41,91,72077.78906
41,92,296941.56250
41,94,27026570.00000
42,77,0.00429
42,78,0.01762
42,79,0.01047
42,80,0.04433
42,81,0.03173
42,82,0.21406
42,83,0.14027
42,84,1.43139
42,85,0.81831
42,86,30.50999
42,87,6.68648
42,88,431.93756
42,89,15.13386
42,90,8148.07520
42,91,96.92657
42,93,196736864.00000
