n,z,halflife(Seconds),d-halflife
0,1,STABLE,
1,1,STABLE,
1,2,STABLE,
1,3,6.03,
2,1,388789632,631152
2,2,STABLE,
2,3,3.038e-22,
2,4,4.953260869565218e-21,3.2303875236294866e-22
2,5,3.255e-22,4.650000000000003e-23
2,6,1.981304347826087e-21,4.30718336483932e-22
3,2,7.595e-22,2.531666666666667e-23
3,3,STABLE,
3,4,4598208,5184
3,5,0.77,0.0030000000000000027
3,6,0.1265,0.0009000000000000119
4,1,7.994736842105262e-23,2.945429362880886e-23
4,2,0.8067000000000001,0.0015000000000000013
4,3,STABLE,
4,4,8.181328545780969e-17,3.672050514264347e-18
4,5,8.438888888888889e-19,3.281790123456789e-19
4,6,19.308,0.004000000000001336
4,7,5.4903614457831325e-22,1.9844679924517367e-23
4,8,1.1392499999999999e-21,7.120312499999999e-22
5,1,2.8481249999999997e-22,7.120312499999998e-23
5,2,3.038e-21,4.0506666666666654e-22
5,3,0.8399,0.0009000000000000119
5,4,STABLE,
5,5,STABLE,
5,6,1221.8400000000001,0.8400000000000318
5,7,0.011,0.00001599999999999952
5,8,0.00858,0.000050000000000000565
5,9,5.007692307692308e-22,5.502958579881656e-23
6,2,0.1191,0.0012000000000000066
6,3,0.17830000000000001,0.00040000000000001146
6,4,47651976000000,1262304000000
6,5,STABLE,
6,6,STABLE,
6,7,597.9,0.2400000000000091
6,8,70.62,0.015000000000000568
6,9,6.904545454545455e-22,2.0922865013774263e-24
6,10,9e-21,
7,4,13.76,0.07000000000000028
7,5,0.0202,0.000019999999999999185
7,6,STABLE,
7,7,STABLE,
7,8,122.24,0.1599999999999966
7,9,1.13925e-20,5.696249999999999e-21
7,10,0.1092,0.0005999999999999894
7,11,1.3e-21,4e-22
7,12,4e-12,1.4999999999999999e-12
8,2,1.519e-21,1.0126666666666666e-21
8,3,0.00875,0.00014000000000000037
8,4,0.02147,0.00003999999999999837
8,5,0.017329999999999998,0.00017000000000000175
8,6,179878320000,946728000
8,7,STABLE,
8,8,STABLE,
